                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.80651,                 2.6819,                 1.5181,                0.00932,                      1,                 0.9827,                0.82741,                0.48028,                 2.8396,                 1.1105,                0.00024,                0.00024,                0.00024
                      2,                0.54504,                 1.6513,                 1.2201,                      1,                0.70195,                0.97893,                0.81352,                0.59915,                 2.9078,                 1.2293,              0.0004505,              0.0004505,              0.0004505
                      3,                0.46457,                 1.3407,                 1.1266,                      1,                0.50741,                0.84271,                  0.679,                0.64291,                 2.8515,                 1.2353,             0.00060952,             0.00060952,             0.00060952
                      4,                0.52466,                 1.2699,                 1.1723,                      1,                0.98966,                  0.995,                0.77441,                0.81155,                 2.2337,                 1.4766,             0.00071706,             0.00071706,             0.00071706
                      5,                0.48347,                 1.1271,                 1.1648,                 0.8599,                      1,                  0.982,                0.80535,                0.76872,                 2.0743,                 1.3899,             0.00077312,             0.00077312,             0.00077312
                      6,                0.49036,                 1.0634,                  1.117,                0.86458,                0.89474,                0.96412,                0.76434,                0.63641,                 1.6111,                  1.207,              0.0007777,              0.0007777,              0.0007777
                      7,                0.44519,                0.96647,                 1.1008,                      1,                0.94622,                  0.995,                0.80746,                0.68059,                 1.4217,                 1.2976,              0.0007308,              0.0007308,              0.0007308
                      8,                0.42003,                0.92555,                 1.0861,                0.99873,                      1,                  0.995,                0.86912,                0.61144,                 1.1693,                 1.1511,               0.000614,               0.000614,               0.000614
                      9,                0.39711,                0.86043,                  1.037,                0.99486,                      1,                  0.995,                0.90012,                0.50435,                0.99732,                 1.0219,               0.000416,               0.000416,               0.000416
                     10,                0.34645,                0.81023,                  1.005,                0.99353,                      1,                  0.995,                0.89841,                0.45013,                0.95703,                0.96846,               0.000218,               0.000218,               0.000218
