                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0305,                 1.1365,                 1.3228,                0.91705,                0.40114,                0.45882,                0.32853,                 1.0103,                 1.7347,                 1.3196,             0.00055111,             0.00055111,             0.00055111
                      2,                 1.0149,                0.83144,                 1.3066,                0.64945,                0.39628,                 0.1593,                0.11167,                 1.0283,                 5.3443,                 1.4005,              0.0010958,              0.0010958,              0.0010958
                      3,                 0.9863,                0.77335,                  1.284,                0.93961,                0.39495,                0.43602,                0.29855,                 1.0473,                 1.1923,                 1.3757,              0.0016295,              0.0016295,              0.0016295
                      4,                0.94795,                 0.7198,                 1.2585,                0.95507,                0.45798,                0.48554,                0.37093,                0.91186,                0.75235,                 1.2077,              0.0016175,              0.0016175,              0.0016175
                      5,                0.87378,                0.64641,                 1.1999,                0.97144,                0.48294,                0.50549,                0.37081,                0.90275,                0.68184,                 1.2277,               0.001601,               0.001601,               0.001601
                      6,                 0.8145,                0.58805,                 1.1745,                0.97984,                0.47473,                0.49899,                0.40809,                0.68739,                0.55272,                 1.0391,              0.0015845,              0.0015845,              0.0015845
                      7,                0.77193,                0.56101,                 1.1298,                0.97312,                0.49161,                0.49563,                0.41444,                0.64553,                 0.5725,                  1.021,               0.001568,               0.001568,               0.001568
                      8,                0.73263,                0.52549,                 1.1127,                0.99601,                0.49609,                0.50561,                0.43172,                0.60547,                0.44804,                0.99329,              0.0015515,              0.0015515,              0.0015515
                      9,                0.70253,                0.49991,                 1.1065,                0.99801,                0.48537,                0.50887,                0.42957,                  0.602,                0.48709,                0.99707,               0.001535,               0.001535,               0.001535
                     10,                0.65954,                0.48232,                  1.077,                  0.706,                0.74867,                0.74496,                0.48744,                0.57197,                0.50488,                0.98181,              0.0015185,              0.0015185,              0.0015185
                     11,                 0.6658,                0.47959,                 1.0761,                0.99514,                0.49734,                0.56738,                0.44649,                0.53018,                0.38877,                0.95738,               0.001502,               0.001502,               0.001502
                     12,                0.61442,                0.43315,                 1.0438,                0.66051,                   0.75,                0.74856,                0.52102,                0.44421,                0.34926,                0.93337,              0.0014855,              0.0014855,              0.0014855
                     13,                0.58738,                 0.4387,                 1.0345,                0.94399,                0.85441,                  0.995,                0.61385,                0.43416,                0.31927,                0.90156,               0.001469,               0.001469,               0.001469
                     14,                0.58657,                0.41847,                 1.0397,                0.96363,                    0.5,                0.75542,                0.49057,                0.48626,                0.32736,                0.92911,              0.0014525,              0.0014525,              0.0014525
                     15,                0.55645,                0.40173,                 1.0165,                0.72527,                      1,                0.86982,                0.66341,                 0.4519,                0.31078,                0.91862,               0.001436,               0.001436,               0.001436
                     16,                0.54898,                0.40343,                 1.0162,                0.60124,                   0.75,                0.57157,                0.49582,                0.36889,                0.29575,                0.86135,              0.0014195,              0.0014195,              0.0014195
                     17,                0.52735,                0.38067,                 1.0027,                0.77888,                   0.75,                0.74519,                 0.6088,                0.39708,                0.30905,                 0.8844,              0.0014029,              0.0014029,              0.0014029
                     18,                0.51766,                0.37692,                0.99559,                 0.6108,                   0.75,                0.58182,                0.49781,                0.38905,                0.28238,                0.88237,              0.0013864,              0.0013864,              0.0013864
                     19,                0.50964,                0.37359,                0.99389,                0.49576,                    0.5,                0.50399,                0.46448,                0.38714,                0.29572,                0.87241,              0.0013699,              0.0013699,              0.0013699
                     20,                0.48645,                0.35004,                0.97555,                0.71452,                   0.75,                0.62165,                 0.5514,                0.34796,                0.26114,                0.86081,              0.0013534,              0.0013534,              0.0013534
                     21,                0.48154,                0.34302,                0.97482,                0.78313,                      1,                0.91167,                0.69725,                0.33905,                0.26008,                0.83664,              0.0013369,              0.0013369,              0.0013369
                     22,                0.46912,                0.34488,                0.97164,                0.98238,                      1,                  0.995,                0.75524,                0.35593,                0.26917,                0.85115,              0.0013204,              0.0013204,              0.0013204
                     23,                0.46145,                  0.338,                0.96078,                0.45437,                    0.5,                0.56424,                0.49393,                0.32232,                0.24648,                0.83384,              0.0013039,              0.0013039,              0.0013039
                     24,                0.45343,                0.32317,                0.96157,                0.62602,                   0.75,                0.63556,                0.52769,                0.30611,                0.24622,                0.82158,              0.0012874,              0.0012874,              0.0012874
                     25,                0.44096,                0.32108,                0.95821,                0.65724,                   0.75,                0.62111,                0.50905,                0.30836,                0.24819,                0.83624,              0.0012709,              0.0012709,              0.0012709
