                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6409,                 1.4983,                 1.7222,                0.87873,                0.82197,                0.86777,                0.50183,                 1.4773,                 0.8095,                 1.6176,              0.0033256,              0.0033256,              0.0033256
                      2,                 1.4673,                 0.9445,                 1.5302,                0.86028,                0.82481,                 0.8555,                0.45919,                 1.5003,                0.87018,                 1.5877,               0.006593,               0.006593,               0.006593
                      3,                 1.4898,                0.98481,                  1.508,                0.84032,                0.79236,                0.84684,                0.47073,                 1.4928,                 1.0073,                 1.5853,              0.0097944,              0.0097944,              0.0097944
                      4,                 1.5381,                 1.0725,                 1.5575,                0.84784,                0.71763,                0.79813,                0.42684,                 1.6115,                 1.0814,                 1.6815,               0.009703,               0.009703,               0.009703
                      5,                 1.4584,                0.98193,                 1.5015,                0.87501,                0.79735,                0.87487,                0.51088,                 1.4428,                 0.8847,                  1.519,               0.009604,               0.009604,               0.009604
                      6,                 1.4111,                0.90362,                 1.4737,                0.92089,                0.87879,                0.91142,                0.56297,                 1.3643,                0.73305,                 1.4785,               0.009505,               0.009505,               0.009505
                      7,                 1.3579,                0.85392,                 1.4376,                0.91695,                0.86775,                0.91563,                0.58004,                 1.3101,                0.70597,                 1.4784,               0.009406,               0.009406,               0.009406
                      8,                 1.3214,                0.81431,                 1.4048,                 0.8972,                0.88437,                0.92344,                0.58548,                  1.273,                0.69449,                 1.4019,               0.009307,               0.009307,               0.009307
                      9,                 1.2637,                0.76329,                 1.3857,                 0.9489,                0.87027,                0.93335,                0.61304,                  1.207,                 0.6466,                 1.3878,               0.009208,               0.009208,               0.009208
                     10,                 1.2508,                 0.7446,                 1.3695,                 0.9236,                0.87121,                0.92923,                0.61215,                 1.2104,                0.64453,                  1.384,               0.009109,               0.009109,               0.009109
                     11,                 1.2231,                0.72532,                 1.3516,                0.94291,                0.89154,                0.94455,                0.63458,                 1.1596,                0.60526,                  1.366,                0.00901,                0.00901,                0.00901
                     12,                 1.1819,                0.70263,                 1.3371,                0.94285,                0.89962,                0.94743,                0.64677,                 1.1236,                0.58465,                 1.3308,               0.008911,               0.008911,               0.008911
                     13,                 1.1562,                 0.6695,                 1.3146,                0.93583,                0.91147,                0.94206,                0.63415,                 1.1487,                0.59033,                 1.3554,               0.008812,               0.008812,               0.008812
                     14,                 1.1401,                0.66888,                 1.3062,                0.94291,                0.89158,                0.94529,                0.64623,                 1.0985,                0.57302,                 1.2952,               0.008713,               0.008713,               0.008713
                     15,                 1.1151,                0.64672,                 1.2811,                0.94414,                0.89628,                0.94361,                 0.6705,                 1.0531,                0.55273,                 1.2712,               0.008614,               0.008614,               0.008614
                     16,                 1.0951,                0.63676,                 1.2665,                0.93768,                0.91098,                0.95164,                0.67292,                 1.0649,                0.53528,                  1.272,               0.008515,               0.008515,               0.008515
                     17,                 1.0671,                0.60917,                 1.2539,                0.95132,                0.90685,                0.95252,                0.69127,                 1.0084,                0.51212,                 1.2605,               0.008416,               0.008416,               0.008416
                     18,                 1.0543,                 0.6003,                 1.2448,                0.94204,                0.92348,                0.95735,                0.69812,                0.99936,                0.50179,                 1.2553,               0.008317,               0.008317,               0.008317
                     19,                 1.0406,                0.60095,                 1.2484,                0.93934,                0.92389,                0.95772,                0.68744,                 1.0417,                0.50832,                 1.2841,               0.008218,               0.008218,               0.008218
                     20,                  1.028,                0.58344,                 1.2312,                0.94607,                0.93034,                0.96262,                0.70367,                 0.9881,                0.49042,                 1.2427,               0.008119,               0.008119,               0.008119
                     21,                 1.0081,                0.56406,                 1.2269,                0.94411,                0.93182,                0.96426,                0.70154,                0.99348,                0.48471,                 1.2369,                0.00802,                0.00802,                0.00802
                     22,                0.98882,                0.55538,                 1.2088,                0.95146,                0.93277,                0.96295,                0.72064,                0.93874,                0.46383,                 1.2237,               0.007921,               0.007921,               0.007921
                     23,                0.97465,                0.55451,                 1.2002,                0.95575,                0.92042,                 0.9628,                0.71875,                0.93097,                0.46514,                 1.2132,               0.007822,               0.007822,               0.007822
                     24,                0.97344,                0.54169,                 1.1928,                0.95574,                0.92016,                0.95849,                0.71905,                0.95104,                0.46842,                 1.1993,               0.007723,               0.007723,               0.007723
                     25,                 0.9576,                0.54822,                 1.1802,                0.95334,                0.91004,                0.95603,                0.72467,                0.91893,                0.46458,                 1.1771,               0.007624,               0.007624,               0.007624
                     26,                 0.9432,                0.52748,                 1.1733,                0.96086,                0.92997,                0.96391,                0.73074,                0.90635,                0.43402,                 1.1761,               0.007525,               0.007525,               0.007525
                     27,                0.92209,                0.52052,                 1.1634,                0.95679,                0.92992,                0.96775,                0.74224,                0.88481,                0.43699,                 1.1727,               0.007426,               0.007426,               0.007426
                     28,                0.91604,                 0.5093,                 1.1662,                0.95419,                0.92698,                0.96684,                0.73805,                0.88479,                0.42625,                 1.1753,               0.007327,               0.007327,               0.007327
                     29,                0.89945,                0.50153,                 1.1478,                0.96317,                0.93182,                0.96625,                0.73749,                0.89555,                0.43323,                 1.1594,               0.007228,               0.007228,               0.007228
                     30,                0.89398,                0.50357,                 1.1471,                0.96363,                0.92424,                0.96933,                 0.7491,                 0.8721,                0.43361,                 1.1497,               0.007129,               0.007129,               0.007129
                     31,                0.87296,                0.48219,                  1.125,                0.96774,                0.93755,                0.97422,                0.75357,                0.85657,                0.40866,                 1.1451,                0.00703,                0.00703,                0.00703
                     32,                0.87271,                0.47581,                 1.1297,                0.96681,                0.93802,                0.97189,                0.75904,                0.83473,                0.39812,                 1.1278,               0.006931,               0.006931,               0.006931
                     33,                0.86014,                0.47175,                 1.1261,                0.95752,                 0.9392,                0.97458,                0.75691,                0.83905,                  0.404,                 1.1369,               0.006832,               0.006832,               0.006832
                     34,                 0.8517,                 0.4678,                 1.1229,                0.96382,                0.93349,                0.97399,                0.75754,                0.83868,                 0.4009,                 1.1279,               0.006733,               0.006733,               0.006733
                     35,                0.84177,                0.46602,                 1.1137,                0.95261,                0.93267,                0.97247,                0.77081,                0.81553,                0.39989,                 1.1162,               0.006634,               0.006634,               0.006634
                     36,                0.82533,                 0.4494,                 1.1045,                0.97101,                0.92803,                0.97289,                0.77067,                 0.8061,                0.38857,                 1.1079,               0.006535,               0.006535,               0.006535
                     37,                0.81502,                0.44073,                 1.1002,                0.96309,                0.93655,                0.97235,                0.77465,                0.79385,                0.38131,                 1.1107,               0.006436,               0.006436,               0.006436
                     38,                0.81301,                0.44693,                 1.1021,                0.97335,                0.93379,                0.97835,                  0.778,                0.77988,                0.37382,                 1.1034,               0.006337,               0.006337,               0.006337
                     39,                0.80426,                0.43611,                 1.0896,                0.97342,                0.93621,                0.97699,                0.77999,                0.78381,                0.36426,                 1.1063,               0.006238,               0.006238,               0.006238
                     40,                0.78709,                0.42948,                 1.0882,                0.95251,                0.95076,                 0.9774,                0.78411,                0.77492,                0.35309,                 1.1009,               0.006139,               0.006139,               0.006139
                     41,                0.78495,                0.42438,                  1.088,                0.96777,                0.93561,                0.97691,                0.78188,                0.78102,                0.35688,                 1.1074,                0.00604,                0.00604,                0.00604
                     42,                0.77605,                0.42885,                 1.0791,                 0.9804,                0.94129,                0.98132,                0.78801,                0.75739,                 0.3509,                 1.0979,               0.005941,               0.005941,               0.005941
                     43,                0.76761,                0.41706,                 1.0741,                0.97351,                0.94318,                0.97976,                0.79163,                0.75466,                0.35051,                 1.0845,               0.005842,               0.005842,               0.005842
                     44,                0.76639,                0.41566,                 1.0725,                 0.9742,                0.92968,                0.97648,                0.79076,                0.74826,                0.35097,                 1.0949,               0.005743,               0.005743,               0.005743
                     45,                0.74384,                0.40865,                 1.0663,                0.95884,                 0.9486,                0.97677,                0.79554,                0.74216,                0.34207,                 1.0843,               0.005644,               0.005644,               0.005644
                     46,                0.74997,                 0.4074,                 1.0643,                0.97788,                0.93561,                0.97747,                0.79659,                0.74283,                 0.3453,                 1.0664,               0.005545,               0.005545,               0.005545
                     47,                 0.7407,                0.40544,                 1.0556,                0.97544,                0.94033,                0.97878,                0.80162,                0.72276,                0.34077,                  1.056,               0.005446,               0.005446,               0.005446
                     48,                0.72441,                0.39294,                 1.0384,                0.96811,                0.95076,                0.98025,                0.80628,                0.72704,                0.32827,                 1.0525,               0.005347,               0.005347,               0.005347
                     49,                0.72178,                0.38634,                 1.0378,                0.97047,                0.94129,                0.97731,                 0.8034,                0.72208,                 0.3324,                 1.0476,               0.005248,               0.005248,               0.005248
                     50,                0.70475,                0.38576,                 1.0317,                0.97456,                 0.9432,                0.98034,                0.80794,                0.71915,                0.33136,                 1.0545,               0.005149,               0.005149,               0.005149
                     51,                0.70343,                0.38456,                 1.0326,                0.97525,                0.94223,                 0.9791,                0.80761,                0.70543,                0.32281,                  1.054,                0.00505,                0.00505,                0.00505
                     52,                0.69159,                0.37907,                 1.0291,                0.97262,                0.94413,                 0.9756,                0.80455,                0.70119,                0.32233,                 1.0514,               0.004951,               0.004951,               0.004951
                     53,                0.68796,                0.37307,                 1.0215,                0.96944,                0.94886,                0.97921,                0.81255,                0.69189,                0.31984,                 1.0383,               0.004852,               0.004852,               0.004852
                     54,                   0.69,                0.37177,                 1.0275,                0.98141,                0.94997,                0.98093,                0.81653,                0.68367,                0.30755,                 1.0378,               0.004753,               0.004753,               0.004753
                     55,                0.66636,                0.36119,                 1.0149,                0.97382,                0.95108,                0.97973,                0.81813,                0.67851,                 0.3077,                  1.046,               0.004654,               0.004654,               0.004654
                     56,                0.67074,                0.36195,                 1.0168,                 0.9748,                0.95237,                0.97714,                0.81505,                0.68592,                0.30304,                 1.0349,               0.004555,               0.004555,               0.004555
                     57,                0.65666,                0.35393,                 1.0092,                0.97137,                0.95265,                0.98019,                0.82346,                0.67233,                0.30362,                 1.0402,               0.004456,               0.004456,               0.004456
                     58,                0.66368,                0.35867,                 1.0119,                0.97666,                0.94602,                0.98071,                0.82531,                0.67298,                0.30035,                 1.0288,               0.004357,               0.004357,               0.004357
                     59,                0.65048,                0.34887,                0.99932,                0.98038,                0.95265,                0.98188,                0.82937,                0.66277,                0.29359,                  1.015,               0.004258,               0.004258,               0.004258
                     60,                0.64646,                0.34842,                0.99831,                0.97221,                 0.9536,                0.98185,                0.82745,                0.66851,                0.30113,                 1.0307,               0.004159,               0.004159,               0.004159
                     61,                0.64041,                0.34216,                0.99228,                  0.975,                 0.9602,                0.98334,                0.83338,                0.65106,                  0.292,                 1.0036,                0.00406,                0.00406,                0.00406
                     62,                0.63446,                0.34175,                0.98845,                0.96895,                0.95644,                 0.9819,                0.83258,                0.64784,                 0.2869,                 1.0048,               0.003961,               0.003961,               0.003961
                     63,                0.61503,                0.32889,                0.98275,                0.97946,                0.94852,                0.98243,                0.83356,                  0.638,                0.29129,                  1.001,               0.003862,               0.003862,               0.003862
                     64,                 0.6133,                0.33074,                0.98354,                0.96755,                0.95996,                0.98166,                0.83457,                0.64005,                0.28423,                 1.0091,               0.003763,               0.003763,               0.003763
                     65,                0.60763,                0.32753,                0.97917,                0.96868,                0.95265,                0.98083,                0.84022,                0.62589,                 0.2829,                 1.0101,               0.003664,               0.003664,               0.003664
                     66,                 0.6066,                 0.3262,                0.98343,                0.97804,                0.94697,                0.98117,                0.83784,                0.62754,                0.28272,                 1.0039,               0.003565,               0.003565,               0.003565
                     67,                0.59619,                0.31931,                0.97331,                0.97998,                0.95549,                0.98329,                0.83882,                0.62406,                 0.2792,                 1.0028,               0.003466,               0.003466,               0.003466
                     68,                0.59217,                0.31621,                0.97198,                0.98344,                0.95076,                0.98354,                0.84211,                0.61146,                0.27529,                0.99849,               0.003367,               0.003367,               0.003367
                     69,                0.58238,                0.31577,                0.96956,                0.98147,                0.95288,                 0.9829,                0.84369,                0.60759,                 0.2772,                0.99563,               0.003268,               0.003268,               0.003268
                     70,                0.58209,                0.31361,                 0.9677,                0.98569,                0.94981,                0.98342,                0.84765,                0.60414,                0.27129,                0.99578,               0.003169,               0.003169,               0.003169
                     71,                0.56299,                  0.304,                0.95779,                0.98038,                0.94654,                0.97995,                0.84517,                0.60873,                0.27235,                0.99859,                0.00307,                0.00307,                0.00307
                     72,                0.56764,                0.30575,                 0.9614,                0.97962,                0.95606,                0.98178,                0.85045,                0.60437,                0.26945,                0.99288,               0.002971,               0.002971,               0.002971
                     73,                0.55567,                0.30447,                0.96211,                0.98345,                0.95653,                0.98303,                 0.8498,                0.59985,                0.26531,                0.99402,               0.002872,               0.002872,               0.002872
                     74,                0.55513,                0.30065,                0.95776,                0.97574,                0.95208,                0.98444,                0.84964,                 0.6014,                0.27034,                0.99358,               0.002773,               0.002773,               0.002773
                     75,                0.54146,                0.29161,                0.95515,                0.97956,                0.95299,                0.98474,                0.85464,                0.59619,                0.26429,                0.99099,               0.002674,               0.002674,               0.002674
                     76,                0.53807,                0.28809,                 0.9462,                0.97651,                 0.9517,                0.98443,                0.85291,                0.59703,                0.26383,                0.99562,               0.002575,               0.002575,               0.002575
                     77,                0.53356,                0.28852,                0.95132,                0.97674,                0.95443,                0.98389,                0.85885,                0.58562,                0.26123,                0.99249,               0.002476,               0.002476,               0.002476
                     78,                0.52423,                0.28415,                0.94434,                0.98346,                0.95076,                0.98403,                0.85899,                0.57999,                0.25723,                0.99162,               0.002377,               0.002377,               0.002377
                     79,                0.52632,                0.28392,                0.94442,                0.98302,                0.94886,                0.98492,                0.85788,                0.58464,                0.25699,                0.99391,               0.002278,               0.002278,               0.002278
                     80,                0.51667,                0.27867,                 0.9361,                0.98259,                0.94886,                0.98588,                0.85845,                0.57942,                0.25663,                0.98396,               0.002179,               0.002179,               0.002179
                     81,                0.51018,                0.27751,                0.93544,                0.98142,                0.95051,                 0.9838,                 0.8581,                 0.5729,                0.25076,                0.98199,                0.00208,                0.00208,                0.00208
                     82,                0.50229,                0.27508,                 0.9354,                0.97961,                0.95558,                0.98643,                0.85993,                0.57298,                0.24926,                 0.9871,               0.001981,               0.001981,               0.001981
                     83,                0.49614,                0.27108,                0.92962,                 0.9843,                0.94975,                0.98722,                0.86163,                0.57022,                0.24832,                0.98494,               0.001882,               0.001882,               0.001882
                     84,                0.48999,                0.26688,                0.93032,                0.98328,                 0.9466,                0.98306,                0.86036,                0.57203,                0.24982,                0.99006,               0.001783,               0.001783,               0.001783
                     85,                0.48413,                0.26274,                0.92303,                0.98521,                0.94653,                0.98322,                0.86196,                0.57022,                0.24951,                0.98984,               0.001684,               0.001684,               0.001684
                     86,                0.47801,                0.25975,                0.92319,                0.98729,                0.94697,                0.98286,                0.86373,                0.56637,                0.24954,                0.98888,               0.001585,               0.001585,               0.001585
                     87,                0.47241,                0.25449,                 0.9214,                0.97398,                0.95704,                0.98671,                0.86609,                0.56478,                0.24698,                0.99115,               0.001486,               0.001486,               0.001486
                     88,                 0.4693,                0.25498,                0.91894,                0.97368,                0.95549,                0.98333,                 0.8647,                0.56668,                0.24775,                0.99405,               0.001387,               0.001387,               0.001387
                     89,                0.46383,                 0.2534,                0.91898,                0.97771,                0.95525,                0.98313,                0.86536,                0.56655,                0.25057,                0.99644,               0.001288,               0.001288,               0.001288
                     90,                 0.4505,                0.24526,                0.91139,                0.97588,                0.95779,                0.98454,                0.86543,                0.56718,                0.24921,                0.99846,               0.001189,               0.001189,               0.001189
                     91,                0.41885,                0.20757,                0.87471,                0.97284,                0.96023,                0.98637,                 0.8663,                0.56321,                0.24871,                0.99683,                0.00109,                0.00109,                0.00109
                     92,                0.40031,                0.20143,                0.85994,                0.97677,                0.95577,                0.98479,                0.86892,                0.55939,                0.24609,                0.99316,               0.000991,               0.000991,               0.000991
                     93,                0.39162,                0.19707,                0.85973,                0.98053,                0.95359,                0.98474,                0.87218,                0.55558,                0.24365,                0.98815,               0.000892,               0.000892,               0.000892
                     94,                0.38186,                0.19221,                 0.8544,                 0.9804,                 0.9536,                0.98506,                0.87356,                0.55389,                 0.2399,                0.98602,               0.000793,               0.000793,               0.000793
                     95,                 0.3746,                0.19127,                0.85472,                0.97834,                 0.9517,                0.98514,                0.87317,                0.55279,                0.24005,                0.98664,               0.000694,               0.000694,               0.000694
                     96,                 0.3683,                0.18809,                0.85028,                0.97954,                0.95206,                0.98506,                0.87398,                0.55188,                0.24089,                0.98687,               0.000595,               0.000595,               0.000595
                     97,                0.36351,                0.18333,                0.84968,                0.98111,                 0.9517,                 0.9852,                0.87274,                0.54846,                0.24003,                0.98713,               0.000496,               0.000496,               0.000496
                     98,                 0.3564,                0.18137,                0.85052,                0.97511,                0.95644,                0.98677,                0.87399,                0.54734,                0.24025,                0.98856,               0.000397,               0.000397,               0.000397
                     99,                0.35008,                0.17743,                0.85108,                0.98042,                0.95549,                0.98678,                0.87412,                0.54422,                0.24187,                0.98757,               0.000298,               0.000298,               0.000298
                    100,                0.34627,                0.17625,                0.84745,                0.98048,                0.95644,                0.98645,                0.87356,                0.54378,                0.24318,                0.98747,               0.000199,               0.000199,               0.000199
