                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7485,                 2.4352,                 1.7586,                0.64235,                0.61553,                0.62999,                0.27705,                   1.83,                 1.6586,                 1.8059,             0.00066512,             0.00066512,             0.00066512
                      2,                 1.7409,                 1.4403,                 1.6897,                0.81436,                0.73201,                0.80636,                0.42459,                 1.6217,                  1.169,                 1.6146,              0.0011999,              0.0011999,              0.0011999
                      3,                 1.6734,                 1.1885,                 1.6274,                0.78979,                0.64041,                0.73187,                0.36744,                 1.7514,                 1.3301,                 1.7095,              0.0016028,              0.0016028,              0.0016028
                      4,                 1.5787,                  1.052,                 1.5583,                0.91045,                0.82576,                0.87792,                0.48144,                 1.5506,                0.95911,                 1.5403,               0.001406,               0.001406,               0.001406
                      5,                 1.4901,                0.92949,                 1.4968,                0.88288,                0.84946,                0.87835,                0.52414,                 1.4239,                0.86851,                 1.4764,               0.001208,               0.001208,               0.001208
                      6,                 1.3928,                0.81945,                 1.4273,                0.92735,                0.86269,                0.91125,                0.55006,                 1.3281,                 0.7633,                 1.4076,                0.00101,                0.00101,                0.00101
                      7,                 1.3217,                0.75602,                 1.3792,                0.93629,                0.86289,                0.92485,                 0.6029,                 1.2528,                0.72076,                 1.3577,               0.000812,               0.000812,               0.000812
                      8,                 1.2421,                0.69488,                 1.3244,                0.92809,                0.88004,                 0.9292,                0.60847,                  1.224,                0.66694,                 1.3267,               0.000614,               0.000614,               0.000614
                      9,                 1.1741,                0.63612,                 1.2815,                0.93506,                0.89489,                0.94646,                 0.6398,                 1.1348,                0.61203,                 1.2658,               0.000416,               0.000416,               0.000416
                     10,                 1.1039,                0.59532,                 1.2396,                0.94196,                0.91004,                0.95141,                0.66805,                 1.0609,                0.56643,                 1.2292,               0.000218,               0.000218,               0.000218
