                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6483,                 2.3908,                 1.5658,                0.80649,                0.72443,                0.76926,                0.37904,                 1.6199,                 1.6521,                 1.5414,              0.0033256,              0.0033256,              0.0033256
                      2,                 1.5461,                 1.4996,                 1.4458,                0.73775,                0.66667,                0.71085,                0.33972,                 1.6997,                 1.4297,                 1.5774,               0.006626,               0.006626,               0.006626
                      3,                 1.5831,                 1.3029,                 1.4729,                0.80788,                 0.7642,                0.79305,                0.37973,                 1.6523,                 1.3117,                 1.5897,              0.0098933,              0.0098933,              0.0098933
                      4,                 1.6148,                 1.2386,                   1.52,                0.75372,                0.61932,                0.67397,                0.32474,                 1.7993,                 1.4177,                 1.7098,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.5422,                 1.1085,                 1.4663,                0.89944,                0.84699,                0.87552,                0.50465,                 1.4857,                0.90839,                 1.5028,               0.009802,               0.009802,               0.009802
                      6,                 1.4888,                 1.0198,                 1.4327,                0.89549,                0.85795,                 0.8898,                0.52428,                 1.4137,                0.88081,                 1.4325,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.4438,                0.95653,                 1.3978,                0.90347,                0.83239,                 0.8847,                0.51944,                 1.4189,                0.83777,                 1.4534,               0.009703,               0.009703,               0.009703
                      8,                 1.4096,                0.91887,                 1.3696,                0.91384,                0.87973,                0.90825,                0.54907,                 1.3584,                0.73548,                 1.3737,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.3483,                0.85695,                 1.3529,                0.92607,                0.87777,                0.92475,                0.56999,                 1.3072,                0.71787,                 1.3403,               0.009604,               0.009604,               0.009604
                     10,                 1.3327,                0.83173,                   1.33,                  0.924,                0.88649,                0.92949,                0.59114,                 1.2892,                0.71704,                 1.3275,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.3211,                0.81862,                 1.3139,                0.92907,                0.89015,                0.93993,                0.61017,                 1.2301,                0.66182,                 1.3134,               0.009505,               0.009505,               0.009505
                     12,                 1.2809,                0.79342,                 1.3016,                0.95173,                0.88352,                 0.9344,                0.60416,                 1.2523,                0.66767,                 1.3186,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.2645,                0.76588,                 1.2857,                0.91794,                0.88447,                0.92895,                   0.61,                 1.2136,                0.64357,                 1.2795,               0.009406,               0.009406,               0.009406
                     14,                 1.2415,                0.75479,                 1.2785,                0.92755,                0.89867,                 0.9366,                0.60639,                 1.2082,                0.63504,                 1.3046,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.2303,                 0.7407,                 1.2728,                0.92336,                0.89773,                0.94141,                0.62339,                 1.1914,                0.63186,                 1.2741,               0.009307,               0.009307,               0.009307
                     16,                 1.2139,                0.72974,                 1.2571,                0.92094,                0.90447,                0.93748,                0.62996,                 1.1857,                0.62773,                 1.2806,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.1924,                0.71144,                  1.243,                0.94112,                0.89297,                0.94109,                0.64042,                 1.1231,                0.59527,                 1.2293,               0.009208,               0.009208,               0.009208
                     18,                 1.1793,                0.70499,                  1.241,                0.94295,                0.89211,                0.94665,                0.64248,                 1.1366,                0.57462,                 1.2402,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.1635,                0.69746,                 1.2337,                0.94882,                0.89015,                0.94769,                0.64348,                 1.1247,                0.59096,                 1.2351,               0.009109,               0.009109,               0.009109
                     20,                 1.1588,                0.69123,                 1.2275,                0.93322,                0.91383,                0.95128,                 0.6736,                 1.0616,                0.55492,                 1.1886,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.1356,                0.66194,                 1.2183,                0.94895,                0.89778,                0.95168,                0.66232,                 1.1009,                0.56399,                 1.2106,                0.00901,                0.00901,                0.00901
