                  epoch,         train/box_loss,        train/pose_loss,        train/kobj_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(P),      metrics/recall(P),       metrics/mAP50(P),    metrics/mAP50-95(P),           val/box_loss,          val/pose_loss,          val/kobj_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                      0,                      0,                      0,                 133.48,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 44.062,                      0,              7.145e-05,              7.145e-05,              7.145e-05
                      2,                      0,                      0,                      0,                 135.12,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 50.562,                      0,             0.00014941,             0.00014941,             0.00014941
                      3,                      0,                      0,                      0,                 114.66,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  270.5,                      0,             0.00021888,             0.00021888,             0.00021888
                      4,                      0,                      0,                      0,                 91.382,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                     68,                      0,             0.00027986,             0.00027986,             0.00027986
                      5,                      0,                      0,                      0,                 82.976,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 8.0703,                      0,             0.00033236,             0.00033236,             0.00033236
                      6,                      0,                      0,                      0,                   71.8,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.0547,                      0,             0.00037636,             0.00037636,             0.00037636
                      7,                      0,                      0,                      0,                  64.08,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 348.25,                      0,             0.00041188,             0.00041188,             0.00041188
                      8,                      0,                      0,                      0,                 58.756,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                   5016,                      0,             0.00043891,             0.00043891,             0.00043891
                      9,                      0,                      0,                      0,                 54.181,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    inf,                      0,             0.00045745,             0.00045745,             0.00045745
                     10,                      0,                      0,                      0,                 50.065,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 149.75,                      0,              0.0004675,              0.0004675,              0.0004675
                     11,                      0,                      0,                      0,                 46.557,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 21.219,                      0,             0.00046907,             0.00046907,             0.00046907
                     12,                      0,                      0,                      0,                 43.449,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                    101,                      0,             0.00046215,             0.00046215,             0.00046215
                     13,                      0,                      0,                      0,                 41.287,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 9.8047,                      0,             0.00044673,             0.00044673,             0.00044673
                     14,                      0,                      0,                      0,                 38.814,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 12.758,                      0,             0.00042283,             0.00042283,             0.00042283
                     15,                      0,                      0,                      0,                 36.622,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 13.633,                      0,             0.00039045,             0.00039045,             0.00039045
                     16,                      0,                      0,                      0,                  35.24,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 12.906,                      0,             0.00034957,             0.00034957,             0.00034957
                     17,                      0,                      0,                      0,                 34.774,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 6.2461,                      0,             0.00029723,             0.00029723,             0.00029723
                     18,                      0,                      0,                      0,                 33.144,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.2129,                      0,              0.0002265,              0.0002265,              0.0002265
                     19,                      0,                      0,                      0,                 32.687,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 2.3789,                      0,             0.00015576,             0.00015576,             0.00015576
                     20,                      0,                      0,                      0,                 31.771,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 1.8516,                      0,             8.5026e-05,             8.5026e-05,             8.5026e-05
